ticker,start_date,end_date,is_done
AMED,20200101T0001,20200531T2359,
A,20200601T0001,20201231T2359,
AA,20200601T0001,20201231T2359,
AAL,20200601T0001,20201231T2359,
AAON,20200601T0001,20201231T2359,
AAP,20200601T0001,20201231T2359,
AAPL,20200601T0001,20201231T2359,
AAWW,20200601T0001,20201231T2359,
AB,20200601T0001,20201231T2359,
ABB,20200601T0001,20201231T2359,
ABBV,20200601T0001,20201231T2359,
ABC,20200601T0001,20201231T2359,
ABCB,20200601T0001,20201231T2359,
ABCL,20200601T0001,20201231T2359,
ABCM,20200601T0001,20201231T2359,
ABEV,20200601T0001,20201231T2359,
ABG,20200601T0001,20201231T2359,
ABM,20200601T0001,20201231T2359,
ABMD,20200601T0001,20201231T2359,
ABNB,20200601T0001,20201231T2359,
ABR,20200601T0001,20201231T2359,
ABT,20200601T0001,20201231T2359,
ACA,20200601T0001,20201231T2359,
ACAD,20200601T0001,20201231T2359,
ACGL,20200601T0001,20201231T2359,
ACH,20200601T0001,20201231T2359,
ACHC,20200601T0001,20201231T2359,
ACI,20200601T0001,20201231T2359,
ACIW,20200601T0001,20201231T2359,
ACLS,20200601T0001,20201231T2359,
ACM,20200601T0001,20201231T2359,
ACN,20200601T0001,20201231T2359,
ACT,20200601T0001,20201231T2359,
ADBE,20200601T0001,20201231T2359,
ADC,20200601T0001,20201231T2359,
ADI,20200601T0001,20201231T2359,
ADM,20200601T0001,20201231T2359,
ADNT,20200601T0001,20201231T2359,
ADP,20200601T0001,20201231T2359,
ADSK,20200601T0001,20201231T2359,
ADT,20200601T0001,20201231T2359,
ADX,20200601T0001,20201231T2359,
AEE,20200601T0001,20201231T2359,
AEG,20200601T0001,20201231T2359,
AEIS,20200601T0001,20201231T2359,
AEL,20200601T0001,20201231T2359,
AEM,20200601T0001,20201231T2359,
AEO,20200601T0001,20201231T2359,
AEP,20200601T0001,20201231T2359,
AER,20200601T0001,20201231T2359,
AES,20200601T0001,20201231T2359,
AFG,20200601T0001,20201231T2359,
AFL,20200601T0001,20201231T2359,
AFRM,20200601T0001,20201231T2359,
AG,20200601T0001,20201231T2359,
AGCO,20200601T0001,20201231T2359,
AGI,20200601T0001,20201231T2359,
AGL,20200601T0001,20201231T2359,
AGNC,20200601T0001,20201231T2359,
AGO,20200601T0001,20201231T2359,
AGR,20200601T0001,20201231T2359,
AGTI,20200601T0001,20201231T2359,
AHCO,20200601T0001,20201231T2359,
AI,20200601T0001,20201231T2359,
AIG,20200601T0001,20201231T2359,
AIMC,20200601T0001,20201231T2359,
AIN,20200601T0001,20201231T2359,
AIRC,20200601T0001,20201231T2359,
AIT,20200601T0001,20201231T2359,
AIZ,20200601T0001,20201231T2359,
AJG,20200601T0001,20201231T2359,
AJRD,20200601T0001,20201231T2359,
AKAM,20200601T0001,20201231T2359,
AL,20200601T0001,20201231T2359,
ALB,20200601T0001,20201231T2359,
ALC,20200601T0001,20201231T2359,
ALE,20200601T0001,20201231T2359,
ALGM,20200601T0001,20201231T2359,
ALGN,20200601T0001,20201231T2359,
ALHC,20200601T0001,20201231T2359,
ALIT,20200601T0001,20201231T2359,
ALK,20200601T0001,20201231T2359,
ALKS,20200601T0001,20201231T2359,
ALL,20200601T0001,20201231T2359,
ALLE,20200601T0001,20201231T2359,
ALLO,20200601T0001,20201231T2359,
ALLY,20200601T0001,20201231T2359,
ALNY,20200601T0001,20201231T2359,
ALRM,20200601T0001,20201231T2359,
ALSN,20200601T0001,20201231T2359,
ALTR,20200601T0001,20201231T2359,
ALV,20200601T0001,20201231T2359,
AM,20200601T0001,20201231T2359,
AMAT,20200601T0001,20201231T2359,
AMBA,20200601T0001,20201231T2359,
AMBP,20200601T0001,20201231T2359,
AMC,20200601T0001,20201231T2359,
AMCR,20200601T0001,20201231T2359,
AMD,20200601T0001,20201231T2359,
AME,20200601T0001,20201231T2359,
AMED,20200601T0001,20201231T2359,
